k,SSE,Clusters
3,2206.471062761097,"Cluster 0 Length: 1069
Cluster 1 Length: 1444
Cluster 2 Length: 327"
4,2180.802313474117,"Cluster 0 Length: 583
Cluster 1 Length: 796
Cluster 2 Length: 401
Cluster 3 Length: 1060"
5,2129.0760182749223,"Cluster 0 Length: 483
Cluster 1 Length: 392
Cluster 2 Length: 649
Cluster 3 Length: 885
Cluster 4 Length: 431"
6,2137.9454191909217,"Cluster 0 Length: 993
Cluster 1 Length: 528
Cluster 2 Length: 216
Cluster 3 Length: 296
Cluster 4 Length: 553
Cluster 5 Length: 254"
7,2156.8750646936555,"Cluster 0 Length: 296
Cluster 1 Length: 79
Cluster 2 Length: 167
Cluster 3 Length: 828
Cluster 4 Length: 607
Cluster 5 Length: 221
Cluster 6 Length: 642"
8,2099.615581030402,"Cluster 0 Length: 218
Cluster 1 Length: 308
Cluster 2 Length: 352
Cluster 3 Length: 265
Cluster 4 Length: 173
Cluster 5 Length: 429
Cluster 6 Length: 68
Cluster 7 Length: 1027"
9,2067.13471185553,"Cluster 0 Length: 178
Cluster 1 Length: 51
Cluster 2 Length: 208
Cluster 3 Length: 283
Cluster 4 Length: 445
Cluster 5 Length: 543
Cluster 6 Length: 245
Cluster 7 Length: 373
Cluster 8 Length: 514"
10,2057.359436179507,"Cluster 0 Length: 332
Cluster 1 Length: 718
Cluster 2 Length: 102
Cluster 3 Length: 353
Cluster 4 Length: 329
Cluster 5 Length: 344
Cluster 6 Length: 218
Cluster 7 Length: 52
Cluster 8 Length: 210
Cluster 9 Length: 182"
