k,SSE,Clusters
3,1815.9149187197193,"['Cluster 0 Length: 1050', 'Cluster 1 Length: 797', 'Cluster 2 Length: 405']"
4,1804.5475282477566,"['Cluster 0 Length: 827', 'Cluster 1 Length: 480', 'Cluster 2 Length: 639', 'Cluster 3 Length: 306']"
5,1788.226939007519,"['Cluster 0 Length: 940', 'Cluster 1 Length: 310', 'Cluster 2 Length: 298', 'Cluster 3 Length: 377', 'Cluster 4 Length: 327']"
6,1767.5284635893177,"['Cluster 0 Length: 193', 'Cluster 1 Length: 437', 'Cluster 2 Length: 384', 'Cluster 3 Length: 353', 'Cluster 4 Length: 194', 'Cluster 5 Length: 691']"
7,1771.8661111455262,"['Cluster 0 Length: 477', 'Cluster 1 Length: 313', 'Cluster 2 Length: 374', 'Cluster 3 Length: 148', 'Cluster 4 Length: 257', 'Cluster 5 Length: 343', 'Cluster 6 Length: 340']"
8,1740.8280058994005,"['Cluster 0 Length: 424', 'Cluster 1 Length: 291', 'Cluster 2 Length: 204', 'Cluster 3 Length: 151', 'Cluster 4 Length: 305', 'Cluster 5 Length: 226', 'Cluster 6 Length: 64', 'Cluster 7 Length: 587']"
9,1747.3300369904669,"['Cluster 0 Length: 435', 'Cluster 1 Length: 90', 'Cluster 2 Length: 110', 'Cluster 3 Length: 259', 'Cluster 4 Length: 156', 'Cluster 5 Length: 400', 'Cluster 6 Length: 144', 'Cluster 7 Length: 435', 'Cluster 8 Length: 223']"
