k,SSE,Clusters
3,2862.841370961618,"['Cluster 0 Length: 792', 'Cluster 1 Length: 1137', 'Cluster 2 Length: 1561']"
4,2822.5183344590646,"['Cluster 0 Length: 1542', 'Cluster 1 Length: 898', 'Cluster 2 Length: 774', 'Cluster 3 Length: 276']"
5,2796.035211790926,"['Cluster 0 Length: 1545', 'Cluster 1 Length: 295', 'Cluster 2 Length: 942', 'Cluster 3 Length: 475', 'Cluster 4 Length: 233']"
6,2732.8228849399866,"['Cluster 0 Length: 875', 'Cluster 1 Length: 217', 'Cluster 2 Length: 892', 'Cluster 3 Length: 396', 'Cluster 4 Length: 312', 'Cluster 5 Length: 798']"
7,2736.6050930100187,"['Cluster 0 Length: 501', 'Cluster 1 Length: 603', 'Cluster 2 Length: 816', 'Cluster 3 Length: 689', 'Cluster 4 Length: 113', 'Cluster 5 Length: 372', 'Cluster 6 Length: 396']"
8,2763.3737712846178,"['Cluster 0 Length: 406', 'Cluster 1 Length: 352', 'Cluster 2 Length: 633', 'Cluster 3 Length: 493', 'Cluster 4 Length: 430', 'Cluster 5 Length: 291', 'Cluster 6 Length: 263', 'Cluster 7 Length: 622']"
9,2713.4106249369515,"['Cluster 0 Length: 592', 'Cluster 1 Length: 575', 'Cluster 2 Length: 548', 'Cluster 3 Length: 49', 'Cluster 4 Length: 292', 'Cluster 5 Length: 288', 'Cluster 6 Length: 274', 'Cluster 7 Length: 381', 'Cluster 8 Length: 491']"
