k,SSE,Clusters
3,3257.0154207371793,"['Cluster 0 Length: 2062', 'Cluster 1 Length: 655', 'Cluster 2 Length: 963']"
4,3293.414939235169,"['Cluster 0 Length: 2314', 'Cluster 1 Length: 117', 'Cluster 2 Length: 263', 'Cluster 3 Length: 986']"
5,3252.962562423127,"['Cluster 0 Length: 1737', 'Cluster 1 Length: 753', 'Cluster 2 Length: 1027', 'Cluster 3 Length: 103', 'Cluster 4 Length: 60']"
6,3223.3424612620984,"['Cluster 0 Length: 1574', 'Cluster 1 Length: 140', 'Cluster 2 Length: 368', 'Cluster 3 Length: 1204', 'Cluster 4 Length: 168', 'Cluster 5 Length: 226']"
7,3178.3740971855773,"['Cluster 0 Length: 1236', 'Cluster 1 Length: 382', 'Cluster 2 Length: 317', 'Cluster 3 Length: 715', 'Cluster 4 Length: 119', 'Cluster 5 Length: 240', 'Cluster 6 Length: 671']"
8,3161.8141293655226,"['Cluster 0 Length: 1193', 'Cluster 1 Length: 334', 'Cluster 2 Length: 402', 'Cluster 3 Length: 262', 'Cluster 4 Length: 100', 'Cluster 5 Length: 925', 'Cluster 6 Length: 329', 'Cluster 7 Length: 135']"
9,3155.775725456574,"['Cluster 0 Length: 1039', 'Cluster 1 Length: 642', 'Cluster 2 Length: 1000', 'Cluster 3 Length: 50', 'Cluster 4 Length: 302', 'Cluster 5 Length: 73', 'Cluster 6 Length: 261', 'Cluster 7 Length: 49', 'Cluster 8 Length: 264']"
