k,SSE,Clusters
3,3966.4507271887696,"['Cluster 0 Length: 2263', 'Cluster 1 Length: 1605', 'Cluster 2 Length: 769']"
4,3962.8279995697662,"['Cluster 0 Length: 2011', 'Cluster 1 Length: 258', 'Cluster 2 Length: 1203', 'Cluster 3 Length: 1165']"
5,3854.024883520497,"['Cluster 0 Length: 1442', 'Cluster 1 Length: 1245', 'Cluster 2 Length: 170', 'Cluster 3 Length: 763', 'Cluster 4 Length: 1017']"
6,3847.2854572750425,"['Cluster 0 Length: 833', 'Cluster 1 Length: 838', 'Cluster 2 Length: 1207', 'Cluster 3 Length: 307', 'Cluster 4 Length: 784', 'Cluster 5 Length: 668']"
7,3909.143219917238,"['Cluster 0 Length: 1471', 'Cluster 1 Length: 1457', 'Cluster 2 Length: 648', 'Cluster 3 Length: 431', 'Cluster 4 Length: 132', 'Cluster 5 Length: 291', 'Cluster 6 Length: 207']"
8,3833.541485980276,"['Cluster 0 Length: 979', 'Cluster 1 Length: 558', 'Cluster 2 Length: 333', 'Cluster 3 Length: 932', 'Cluster 4 Length: 357', 'Cluster 5 Length: 110', 'Cluster 6 Length: 423', 'Cluster 7 Length: 945']"
9,3800.9853930841537,"['Cluster 0 Length: 640', 'Cluster 1 Length: 1152', 'Cluster 2 Length: 201', 'Cluster 3 Length: 328', 'Cluster 4 Length: 158', 'Cluster 5 Length: 561', 'Cluster 6 Length: 830', 'Cluster 7 Length: 557', 'Cluster 8 Length: 210']"
