k,SSE,Clusters
3,3266.8811138264823,"['Cluster 0 Length: 1808', 'Cluster 1 Length: 1707', 'Cluster 2 Length: 189']"
4,3225.268284292067,"['Cluster 0 Length: 1468', 'Cluster 1 Length: 494', 'Cluster 2 Length: 236', 'Cluster 3 Length: 1506']"
5,3211.4750123269237,"['Cluster 0 Length: 1307', 'Cluster 1 Length: 165', 'Cluster 2 Length: 1112', 'Cluster 3 Length: 303', 'Cluster 4 Length: 817']"
6,3207.892270547987,"['Cluster 0 Length: 1767', 'Cluster 1 Length: 244', 'Cluster 2 Length: 504', 'Cluster 3 Length: 459', 'Cluster 4 Length: 21', 'Cluster 5 Length: 709']"
7,3124.775510160557,"['Cluster 0 Length: 1158', 'Cluster 1 Length: 172', 'Cluster 2 Length: 440', 'Cluster 3 Length: 582', 'Cluster 4 Length: 412', 'Cluster 5 Length: 716', 'Cluster 6 Length: 224']"
8,3174.945321929809,"['Cluster 0 Length: 1303', 'Cluster 1 Length: 421', 'Cluster 2 Length: 480', 'Cluster 3 Length: 699', 'Cluster 4 Length: 22', 'Cluster 5 Length: 192', 'Cluster 6 Length: 25', 'Cluster 7 Length: 562']"
9,3142.9625786127563,"['Cluster 0 Length: 1016', 'Cluster 1 Length: 375', 'Cluster 2 Length: 457', 'Cluster 3 Length: 572', 'Cluster 4 Length: 884', 'Cluster 5 Length: 117', 'Cluster 6 Length: 18', 'Cluster 7 Length: 140', 'Cluster 8 Length: 125']"
