k,SSE,Clusters
3,2664.3719474493682,"['Cluster 0 Length: 1337', 'Cluster 1 Length: 1264', 'Cluster 2 Length: 568']"
4,2631.3281103819827,"['Cluster 0 Length: 1712', 'Cluster 1 Length: 727', 'Cluster 2 Length: 564', 'Cluster 3 Length: 166']"
5,2615.098216463604,"['Cluster 0 Length: 1083', 'Cluster 1 Length: 482', 'Cluster 2 Length: 432', 'Cluster 3 Length: 123', 'Cluster 4 Length: 1049']"
6,2587.7828966739007,"['Cluster 0 Length: 723', 'Cluster 1 Length: 545', 'Cluster 2 Length: 41', 'Cluster 3 Length: 461', 'Cluster 4 Length: 781', 'Cluster 5 Length: 618']"
7,2579.6207303658025,"['Cluster 0 Length: 1095', 'Cluster 1 Length: 22', 'Cluster 2 Length: 100', 'Cluster 3 Length: 128', 'Cluster 4 Length: 1038', 'Cluster 5 Length: 338', 'Cluster 6 Length: 448']"
8,2588.42777430285,"['Cluster 0 Length: 662', 'Cluster 1 Length: 109', 'Cluster 2 Length: 558', 'Cluster 3 Length: 3', 'Cluster 4 Length: 631', 'Cluster 5 Length: 852', 'Cluster 6 Length: 336', 'Cluster 7 Length: 18']"
9,2579.831755125522,"['Cluster 0 Length: 1033', 'Cluster 1 Length: 71', 'Cluster 2 Length: 383', 'Cluster 3 Length: 265', 'Cluster 4 Length: 452', 'Cluster 5 Length: 102', 'Cluster 6 Length: 134', 'Cluster 7 Length: 37', 'Cluster 8 Length: 692']"
