k,SSE,Clusters
3,5045.889783337122,"['Cluster 0 Length: 2736', 'Cluster 1 Length: 1665', 'Cluster 2 Length: 1771']"
4,4989.153851065971,"['Cluster 0 Length: 1918', 'Cluster 1 Length: 1919', 'Cluster 2 Length: 1641', 'Cluster 3 Length: 694']"
5,5031.957322993713,"['Cluster 0 Length: 2034', 'Cluster 1 Length: 1178', 'Cluster 2 Length: 158', 'Cluster 3 Length: 1539', 'Cluster 4 Length: 1263']"
6,4862.246229974541,"['Cluster 0 Length: 1523', 'Cluster 1 Length: 743', 'Cluster 2 Length: 1271', 'Cluster 3 Length: 1026', 'Cluster 4 Length: 1233', 'Cluster 5 Length: 376']"
7,4854.906237138766,"['Cluster 0 Length: 943', 'Cluster 1 Length: 695', 'Cluster 2 Length: 493', 'Cluster 3 Length: 1670', 'Cluster 4 Length: 891', 'Cluster 5 Length: 144', 'Cluster 6 Length: 1336']"
8,4827.462350041685,"['Cluster 0 Length: 914', 'Cluster 1 Length: 543', 'Cluster 2 Length: 571', 'Cluster 3 Length: 679', 'Cluster 4 Length: 980', 'Cluster 5 Length: 353', 'Cluster 6 Length: 1708', 'Cluster 7 Length: 424']"
9,4733.07290434777,"['Cluster 0 Length: 882', 'Cluster 1 Length: 780', 'Cluster 2 Length: 1011', 'Cluster 3 Length: 602', 'Cluster 4 Length: 768', 'Cluster 5 Length: 694', 'Cluster 6 Length: 843', 'Cluster 7 Length: 116', 'Cluster 8 Length: 476']"
