k,SSE,Clusters
3,2209.9628164041574,"['Cluster 0 Length: 1438', 'Cluster 1 Length: 736', 'Cluster 2 Length: 670']"
4,2205.5364596331524,"['Cluster 0 Length: 1087', 'Cluster 1 Length: 774', 'Cluster 2 Length: 616', 'Cluster 3 Length: 367']"
5,2164.6506094933993,"['Cluster 0 Length: 595', 'Cluster 1 Length: 675', 'Cluster 2 Length: 443', 'Cluster 3 Length: 603', 'Cluster 4 Length: 528']"
6,2143.6125395034146,"['Cluster 0 Length: 462', 'Cluster 1 Length: 548', 'Cluster 2 Length: 126', 'Cluster 3 Length: 994', 'Cluster 4 Length: 377', 'Cluster 5 Length: 337']"
7,2118.384319055833,"['Cluster 0 Length: 892', 'Cluster 1 Length: 358', 'Cluster 2 Length: 534', 'Cluster 3 Length: 91', 'Cluster 4 Length: 287', 'Cluster 5 Length: 223', 'Cluster 6 Length: 459']"
8,2103.0770223062245,"['Cluster 0 Length: 341', 'Cluster 1 Length: 102', 'Cluster 2 Length: 46', 'Cluster 3 Length: 306', 'Cluster 4 Length: 446', 'Cluster 5 Length: 339', 'Cluster 6 Length: 1018', 'Cluster 7 Length: 246']"
9,2094.4791306340703,"['Cluster 0 Length: 160', 'Cluster 1 Length: 220', 'Cluster 2 Length: 290', 'Cluster 3 Length: 135', 'Cluster 4 Length: 262', 'Cluster 5 Length: 66', 'Cluster 6 Length: 475', 'Cluster 7 Length: 403', 'Cluster 8 Length: 833']"
