k,SSE,Clusters
3,1134.20980526808,"['Cluster 0 Length: 247', 'Cluster 1 Length: 729', 'Cluster 2 Length: 411']"
4,1115.867515494128,"['Cluster 0 Length: 319', 'Cluster 1 Length: 404', 'Cluster 2 Length: 252', 'Cluster 3 Length: 412']"
5,1124.7813573802482,"['Cluster 0 Length: 523', 'Cluster 1 Length: 380', 'Cluster 2 Length: 34', 'Cluster 3 Length: 373', 'Cluster 4 Length: 77']"
6,1113.1051515930344,"['Cluster 0 Length: 388', 'Cluster 1 Length: 250', 'Cluster 2 Length: 163', 'Cluster 3 Length: 143', 'Cluster 4 Length: 370', 'Cluster 5 Length: 73']"
7,1100.766585142322,"['Cluster 0 Length: 423', 'Cluster 1 Length: 19', 'Cluster 2 Length: 103', 'Cluster 3 Length: 100', 'Cluster 4 Length: 499', 'Cluster 5 Length: 124', 'Cluster 6 Length: 119']"
8,1108.9441999270994,"['Cluster 0 Length: 200', 'Cluster 1 Length: 94', 'Cluster 2 Length: 325', 'Cluster 3 Length: 162', 'Cluster 4 Length: 123', 'Cluster 5 Length: 98', 'Cluster 6 Length: 153', 'Cluster 7 Length: 232']"
9,1084.0925053841988,"['Cluster 0 Length: 193', 'Cluster 1 Length: 106', 'Cluster 2 Length: 164', 'Cluster 3 Length: 159', 'Cluster 4 Length: 14', 'Cluster 5 Length: 177', 'Cluster 6 Length: 191', 'Cluster 7 Length: 96', 'Cluster 8 Length: 287']"
