k,SSE,Clusters
3,3583.532129925883,"['Cluster 0 Length: 1799', 'Cluster 1 Length: 933', 'Cluster 2 Length: 1393']"
4,3512.113233692016,"['Cluster 0 Length: 1666', 'Cluster 1 Length: 1068', 'Cluster 2 Length: 844', 'Cluster 3 Length: 547']"
5,3559.6082056423306,"['Cluster 0 Length: 2118', 'Cluster 1 Length: 1555', 'Cluster 2 Length: 239', 'Cluster 3 Length: 145', 'Cluster 4 Length: 68']"
6,3454.523905331169,"['Cluster 0 Length: 1265', 'Cluster 1 Length: 830', 'Cluster 2 Length: 740', 'Cluster 3 Length: 571', 'Cluster 4 Length: 640', 'Cluster 5 Length: 79']"
7,3485.7165196950127,"['Cluster 0 Length: 632', 'Cluster 1 Length: 562', 'Cluster 2 Length: 1080', 'Cluster 3 Length: 645', 'Cluster 4 Length: 280', 'Cluster 5 Length: 802', 'Cluster 6 Length: 124']"
8,3413.535395708623,"['Cluster 0 Length: 623', 'Cluster 1 Length: 652', 'Cluster 2 Length: 408', 'Cluster 3 Length: 473', 'Cluster 4 Length: 458', 'Cluster 5 Length: 255', 'Cluster 6 Length: 1039', 'Cluster 7 Length: 217']"
9,3455.385245435835,"['Cluster 0 Length: 624', 'Cluster 1 Length: 303', 'Cluster 2 Length: 111', 'Cluster 3 Length: 206', 'Cluster 4 Length: 294', 'Cluster 5 Length: 712', 'Cluster 6 Length: 387', 'Cluster 7 Length: 803', 'Cluster 8 Length: 685']"
