k,SSE,Clusters
3,3397.1985144788364,"['Cluster 0 Length: 2403', 'Cluster 1 Length: 434', 'Cluster 2 Length: 1080']"
4,3407.358091926872,"['Cluster 0 Length: 2275', 'Cluster 1 Length: 8', 'Cluster 2 Length: 297', 'Cluster 3 Length: 1337']"
5,3381.9417902903974,"['Cluster 0 Length: 2409', 'Cluster 1 Length: 232', 'Cluster 2 Length: 758', 'Cluster 3 Length: 298', 'Cluster 4 Length: 220']"
6,3267.4321069674825,"['Cluster 0 Length: 1566', 'Cluster 1 Length: 742', 'Cluster 2 Length: 543', 'Cluster 3 Length: 369', 'Cluster 4 Length: 23', 'Cluster 5 Length: 674']"
7,3290.3117755346157,"['Cluster 0 Length: 1560', 'Cluster 1 Length: 418', 'Cluster 2 Length: 710', 'Cluster 3 Length: 302', 'Cluster 4 Length: 60', 'Cluster 5 Length: 837', 'Cluster 6 Length: 30']"
8,3216.3993148681875,"['Cluster 0 Length: 1789', 'Cluster 1 Length: 306', 'Cluster 2 Length: 207', 'Cluster 3 Length: 251', 'Cluster 4 Length: 161', 'Cluster 5 Length: 401', 'Cluster 6 Length: 302', 'Cluster 7 Length: 500']"
9,3260.4505069717447,"['Cluster 0 Length: 1698', 'Cluster 1 Length: 179', 'Cluster 2 Length: 341', 'Cluster 3 Length: 145', 'Cluster 4 Length: 249', 'Cluster 5 Length: 295', 'Cluster 6 Length: 768', 'Cluster 7 Length: 136', 'Cluster 8 Length: 106']"
