k,SSE,Clusters
3,3797.919257078342,"['Cluster 0 Length: 1647', 'Cluster 1 Length: 1086', 'Cluster 2 Length: 1791']"
4,3769.6724520615767,"['Cluster 0 Length: 2418', 'Cluster 1 Length: 1104', 'Cluster 2 Length: 485', 'Cluster 3 Length: 517']"
5,3708.323024819002,"['Cluster 0 Length: 1329', 'Cluster 1 Length: 1362', 'Cluster 2 Length: 848', 'Cluster 3 Length: 272', 'Cluster 4 Length: 713']"
6,3689.492504612266,"['Cluster 0 Length: 1161', 'Cluster 1 Length: 419', 'Cluster 2 Length: 753', 'Cluster 3 Length: 1149', 'Cluster 4 Length: 134', 'Cluster 5 Length: 908']"
7,3660.19398109583,"['Cluster 0 Length: 737', 'Cluster 1 Length: 263', 'Cluster 2 Length: 474', 'Cluster 3 Length: 279', 'Cluster 4 Length: 311', 'Cluster 5 Length: 2198', 'Cluster 6 Length: 262']"
8,3628.046121272001,"['Cluster 0 Length: 771', 'Cluster 1 Length: 586', 'Cluster 2 Length: 474', 'Cluster 3 Length: 34', 'Cluster 4 Length: 940', 'Cluster 5 Length: 753', 'Cluster 6 Length: 626', 'Cluster 7 Length: 340']"
9,3668.8741289368577,"['Cluster 0 Length: 674', 'Cluster 1 Length: 280', 'Cluster 2 Length: 469', 'Cluster 3 Length: 818', 'Cluster 4 Length: 385', 'Cluster 5 Length: 256', 'Cluster 6 Length: 1022', 'Cluster 7 Length: 555', 'Cluster 8 Length: 65']"
