k,SSE,Clusters
3,2578.528667984573,"['Cluster 0 Length: 679', 'Cluster 1 Length: 1843', 'Cluster 2 Length: 666']"
4,2549.0908318999527,"['Cluster 0 Length: 767', 'Cluster 1 Length: 331', 'Cluster 2 Length: 1274', 'Cluster 3 Length: 816']"
5,2537.3456438655717,"['Cluster 0 Length: 974', 'Cluster 1 Length: 1165', 'Cluster 2 Length: 331', 'Cluster 3 Length: 416', 'Cluster 4 Length: 302']"
6,2604.24491388437,"['Cluster 0 Length: 1156', 'Cluster 1 Length: 104', 'Cluster 2 Length: 53', 'Cluster 3 Length: 919', 'Cluster 4 Length: 653', 'Cluster 5 Length: 303']"
7,2506.9600261326027,"['Cluster 0 Length: 736', 'Cluster 1 Length: 182', 'Cluster 2 Length: 215', 'Cluster 3 Length: 359', 'Cluster 4 Length: 491', 'Cluster 5 Length: 618', 'Cluster 6 Length: 587']"
8,2499.7811927925677,"['Cluster 0 Length: 579', 'Cluster 1 Length: 18', 'Cluster 2 Length: 269', 'Cluster 3 Length: 919', 'Cluster 4 Length: 298', 'Cluster 5 Length: 501', 'Cluster 6 Length: 214', 'Cluster 7 Length: 390']"
9,2458.066273909169,"['Cluster 0 Length: 390', 'Cluster 1 Length: 111', 'Cluster 2 Length: 73', 'Cluster 3 Length: 186', 'Cluster 4 Length: 658', 'Cluster 5 Length: 130', 'Cluster 6 Length: 596', 'Cluster 7 Length: 805', 'Cluster 8 Length: 239']"
