k,SSE,Clusters
3,3442.4418588857593,"['Cluster 0 Length: 1538', 'Cluster 1 Length: 917', 'Cluster 2 Length: 1530']"
4,3376.402603289934,"['Cluster 0 Length: 1723', 'Cluster 1 Length: 441', 'Cluster 2 Length: 580', 'Cluster 3 Length: 1241']"
5,3398.55000209415,"['Cluster 0 Length: 1912', 'Cluster 1 Length: 365', 'Cluster 2 Length: 225', 'Cluster 3 Length: 998', 'Cluster 4 Length: 485']"
6,3335.109731234753,"['Cluster 0 Length: 1332', 'Cluster 1 Length: 797', 'Cluster 2 Length: 608', 'Cluster 3 Length: 998', 'Cluster 4 Length: 81', 'Cluster 5 Length: 169']"
7,3282.9637061223893,"['Cluster 0 Length: 1091', 'Cluster 1 Length: 52', 'Cluster 2 Length: 530', 'Cluster 3 Length: 256', 'Cluster 4 Length: 457', 'Cluster 5 Length: 838', 'Cluster 6 Length: 761']"
8,3260.0990297679973,"['Cluster 0 Length: 627', 'Cluster 1 Length: 500', 'Cluster 2 Length: 554', 'Cluster 3 Length: 208', 'Cluster 4 Length: 312', 'Cluster 5 Length: 499', 'Cluster 6 Length: 544', 'Cluster 7 Length: 741']"
9,3287.269814375415,"['Cluster 0 Length: 651', 'Cluster 1 Length: 800', 'Cluster 2 Length: 155', 'Cluster 3 Length: 537', 'Cluster 4 Length: 272', 'Cluster 5 Length: 98', 'Cluster 6 Length: 61', 'Cluster 7 Length: 996', 'Cluster 8 Length: 415']"
